Gene	ModuleColor	kWithin
679	ANKAR	brown	8.94315771949682
680	ANKDD1A	skyblue	2.00982327510296
681	ANKDD1B	yellow	9.82072998565391
682	ANKEF1	brown	8.61118219912814
683	ANKFN1	magenta	3.75996955886731
684	ANKFY1	grey	2.2689667470984
685	ANKH	brown	5.42018777285676
686	ANKHD1	royalblue	0.370571318005707
687	ANKIB1	black	9.25662622167796
688	ANKK1	grey	1.22595544003574
689	ANKLE1	grey	1.14379570851319
690	ANKLE2	tan	2.14369776718668
691	ANKMY1	tan	6.62150568554647
692	ANKMY2	midnightblue	1.31647790649156
693	ANKRA2	salmon	0.598965204024228
694	ANKRD10	purple	1.16149522301901
